Metric,Epoch,Mean,Std Dev
Loss_train,15,1.0937540531158447,0.5835658785718498
Loss_train,16,0.9882196684678396,0.5195633041628605
Loss_train,17,0.8866375188032786,0.4645994103036867
Loss_train,18,0.8096650242805481,0.41835562661451364
Loss_train,19,0.7244444141785303,0.37215223896690863
Loss_train,20,0.6724371860424677,0.3443338933875395
Loss_train,21,0.623164082566897,0.3160053069890025
Loss_train,22,0.5653641521930695,0.2793287653463094
Loss_train,23,0.5226572205622991,0.24556051409942933
Loss_train,24,0.47301703691482544,0.21366989214167645
Loss_train,25,0.44520241518815357,0.20083708584211543
Loss_train,26,0.5384444892406464,0.01442757248878479
Loss_train,27,0.4949232190847397,0.003942087292671204
Loss_train,28,0.4769245684146881,0.004764765501022339
Loss_train,29,0.4384943097829819,0.0015678256750106812
Loss_train,30,0.40476571023464203,0.008726313710212708
